Line,Line_Name,Sub_Region_of_Primary_Service,Predominant_Vehicle_Type,TSG_Service_Type,Population,Employment,Average_One_Way_Trip_Distance__km_,AVG_speed_km_per_hr,RANK_Annual_APC_Boardings,Annual_APC_Boardings,AVG_Daily_APC_Boardings_MF,AVG_Daily_APC_Boardings_Sat,AVG_Daily_APC_Boardings_SunHol,Annual_Revenue_Hours_with_Overcrowding,On_Time_Performance_Percentage,Annual_Service_Cost,Annual_Service_Hours,Year
173/174,COQUITLAM CENTRAL STN/CEDAR/ROCKLIN,Northeast Sector,Mini-Bus,Basic,46000,15000,10.9,24 km/h,125,389928,1279,776,456,0,80%,2454023,35933,2023
175,COQUITLAM CENTRAL STN/MERIDIAN,Northeast Sector,Mini-Bus,Peak Only Limited,26000,24000,7.4,22 km/h,159,96248,382,0,0,0,80%,415211,5993,2023
179,COQUITLAM CENTRAL STN/BUNTZEN LAKE,Northeast Sector,Std. Bus,Special,29000,14000,12,30 km/h,188,13898,0,321,339,0,73%,76889,980,2023
180,MOODY CTR STN/LOUGHEED STN,Northeast Sector,Mini-Bus,Peak Frequent,47000,14000,9.8,23 km/h,96,698816,2301,1168,963,0,89%,2307460,28245,2023
181,MOODY CTR STN/IOCO,Northeast Sector,Mini-Bus,Basic,18000,8000,12.3,32 km/h,174,59881,197,106,77,0,89%,483298,7248,2023
182,MOODY CTR STN/BELCARRA,Northeast Sector,Mini-Bus,Basic,23000,8000,19.3,34 km/h,155,106540,333,219,185,0,80%,900376,13760,2023
183,MOODY CTR STN/COQUITLAM CENTRAL STN,Northeast Sector,Std. Bus,Peak Frequent,66000,21000,13.3,25 km/h,116,479131,1582,810,636,0,87%,2740231,30034,2023
184/185,COQUITLAM CENTRAL STN/LANSDOWNE/MOODY CTR STN/NOONS CREEK,Northeast Sector,Mini-Bus,Peak Frequent,40000,17000,5.3,25 km/h,139,220931,737,366,268,0,91%,1458260,21015,2023
186,COQUITLAM CENTRAL STN/HAMPTON PARK,Northeast Sector,Mini-Bus,Peak Frequent,39000,12000,6.5,24 km/h,136,247325,777,527,400,1,90%,845912,12448,2023
187,COQUITLAM CENTRAL STN/PARKWAY BLVD,Northeast Sector,Mini-Bus,Peak Frequent,29000,9000,6.5,24 km/h,133,266694,860,492,404,0,89%,948494,14488,2023
188,COQUITLAM CENTRAL STN/PORT COQ STN,Northeast Sector,Std. Bus,Peak Frequent,62000,19000,12.6,26 km/h,104,615536,1986,1142,922,1,90%,2725301,25351,2023
189,COQUITLAM CENTRAL STN/LAFARGE PARK,Northeast Sector,Mini-Bus,Standard,22000,9000,4.1,20 km/h,162,93817,298,179,156,0,92%,620567,7580,2023
191,COQUITLAM CENTRAL STN/PRINCETON,Northeast Sector,Std. Bus,Standard,41000,13000,7.2,23 km/h,138,243287,769,484,400,0,84%,1071518,9763,2023
209,UPPER LYNN VALLEY/BURRARD STATION,North Shore,Std. Bus,Special,86000,182000,14.9,25 km/h,149,143798,397,451,336,0,84%,843487,7821,2023
210,UPPER LYNN VALLEY/BURRARD STATION,North Shore,Std. Bus,Peak Frequent,83000,177000,9.6,23 km/h,89,857705,2743,1675,1313,1,79%,3275118,30162,2023
211,SEYMOUR/PHIBBS EXCH/BURRARD STATION,North Shore,Std. Bus,Peak Frequent,78000,177000,13.4,27 km/h,102,651839,1982,1436,1280,1,80%,2802958,26994,2023
212,DEEP COVE/PHIBBS EXCH,North Shore,Std. Bus,Standard,13000,10000,8.8,31 km/h,131,272252,828,602,530,0,85%,1175693,10794,2023
215,INDIAN RIVER/PHIBBS EXCH,North Shore,Mini-Bus,Peak Frequent,10000,11000,6.8,28 km/h,141,201984,664,363,262,0,92%,967479,11043,2023
222,METROTOWN STATION/PHIBBS EXCHANGE,North Shore,Std. Bus,,66000,55000,11.7,24 km/h,81,911390,3617,0,0,7,86%,1821274,16977,2023
227,LYNN VALLEY/PHIBBS EXCHANGE,North Shore,Mini-Bus,Standard,19000,9000,7.4,24 km/h,148,146830,367,511,458,0,88%,741934,8720,2023
228,LYNN VALLEY/LONSDALE QUAY,North Shore,Std. Bus,Peak Frequent,43000,15000,5.8,22 km/h,106,575175,1750,1353,1056,0,83%,2147431,19989,2023
229,LYNN VALLEY/LONSDALE QUAY,North Shore,Std. Bus,Standard,51000,23000,6.3,16 km/h,87,859291,2573,2165,1630,1,83%,2210112,20454,2023
230,UPPER LONSDALE/LONSDALE QUAY,North Shore,Std. Bus,Standard,42000,20000,6.2,16 km/h,99,672623,2084,1616,1058,1,85%,1813804,16748,2023
231,HARBOURSIDE/LONSDALE QUAY,North Shore,Std. Bus,Peak Only Limited,17000,16000,2.6,16 km/h,185,18414,73,0,0,0,95%,129821,1244,2023
232,GROUSE MOUNTAIN/PHIBBS EXCH,North Shore,Std. Bus,Standard,48000,20000,11.9,21 km/h,98,672736,2050,1511,1279,0,78%,2271519,21143,2023
236,GROUSE MOUNTAIN/LONSDALE QUAY,North Shore,Std. Bus,Standard,29000,22000,7.2,23 km/h,111,521717,1313,1818,1587,0,85%,2247165,20654,2023
240,LYNN VALLEY/DOWNTOWN,North Shore,Std. Bus,All Day Frequent,97000,187000,11.2,21 km/h,27,2996403,9033,7455,5514,6,72%,6695653,56750,2023
241,UPPER LONSDALE/DOWNTOWN,North Shore,Std. Bus,Peak Only Limited,91000,186000,10.3,19 km/h,130,284174,1128,0,0,3,76%,923512,8672,2023
245,PHIBBS/CAPILANO,North Shore,Std. Bus,,6000,5000,3.8,23 km/h,105,611724,2323,307,176,1,91%,1834450,15693,2023
246/249,LONSDALE QUAY/DELBROOK/HIGHLAND/DOWNTOWN,North Shore,Std. Bus,Peak Frequent,99000,185000,7.7,21 km/h,68,1152396,3569,2579,1970,1,74%,3853467,36069,2023
247,GROUSE MOUNTAIN/DOWNTOWN,North Shore,Std. Bus,Peak Only Limited,71000,166000,16.3,26 km/h,170,66351,263,0,0,1,81%,295916,2888,2023
