Name,Line,Station_Code,Sub_Region,Municipality,Year_Open,Route_Connections,Stop_Connections,Rail_SeaBus_Connections,Annual_Boardings,Annual_Alightings,Employment,Population,Stn_Latitude,Stn_Longtitude,data_year,platform_level,platform_type,faregate_count
Lake City Way Station,Expo/Millennium Line,LC,Burnaby/New Westminster,Burnaby,2003,134; N9,53305; 53308; 58363,Expo/Millennium Line,294100,299300,9000,3000,-122.9390411,49.2546196,2023,Elevated,Side,6
Lougheed Town Centre Station,Expo/Millennium Line,LH,Burnaby/New Westminster,Burnaby,2016,101; 109; 110; 136; 152; 156; 157; 180; 555; N9,58430; 58431; 58432; 58433; 58434; 58436; 58437; 58438; 58439,Expo/Millennium Line,3683400,3674600,14000,16000,-122.8968582,49.24843216,2023,Elevated,Centre & side,12
Burquitlam Station,Expo/Millennium Line,BQ,Northeast Sector,Coquitlam,2016,143; 151; 156; 157; 180; N9,53122; 53208; 59531; 59554; 59557; 59561,Expo/Millennium Line,1447700,1476800,2000,13000,-122.8898697,49.26142502,2023,Elevated,Side,5
Moody Centre Station,Expo/Millennium Line,MC,Northeast Sector,Port Moody,2016,160; 180; 181; 182; 183; 184/185,58945; 61889; 61890; 61891; 61892; 61911; 61912; 61922,Expo/Millennium Line; West Coast Express,751400,707800,4000,9000,-122.8458633,49.2780304,2023,At ground level,Centre,6
Inlet Centre Station,Expo/Millennium Line,IC,Northeast Sector,Port Moody,2016,160; 179; 183; 184/185; N9,53267; 59569; 61988,Expo/Millennium Line,634400,625700,5000,12000,-122.8281784,49.27729797,2023,Below ground,Side,8
Coquitlam Central Station,Expo/Millennium Line,CC,Northeast Sector,Coquitlam,2016,150; 151; 152; 153; 159; 160; 169; 171/172; 173/174; 175; 179; 183; 184/185; 186; 187; 188; 189; 191; 701; N9; R3,53021; 53035; 53161; 53170; 53299; 53357; 53495; 53730; 53864; 53866; 53887; 57570; 60390; 61306,Expo/Millennium Line; West Coast Express,1571900,1660600,7000,5000,-122.800293,49.27441788,2023,Elevated,Side,6
Lincoln Station,Expo/Millennium Line,LN,Northeast Sector,Coquitlam,2016,160; 183; 186; 188; N9,59890; 59935,Expo/Millennium Line,1173200,1078400,10000,19000,-122.7938232,49.28041458,2023,Elevated,Side,5
Production Way-University Station,Expo/Millennium Line,PW,Burnaby/New Westminster,Burnaby,2002,110; 136; 145; N9,58349; 59314; 59315; 59316,Expo/Millennium Line,1436800,1436400,15000,3000,-122.918129,49.25340652,2023,Elevated,Centre,6
Sperling-Burnaby Lake Station,Expo/Millennium Line,SP,Burnaby/New Westminster,Burnaby,2002,110; 134; 144,58440; 58441; 58442,Expo/Millennium Line,592000,531400,3000,4000,-122.9638596,49.2591629,2023,Elevated,Side,3
Lafarge Lake-Douglas Station,Expo/Millennium Line,LL,Northeast Sector,Coquitlam,2016,160; 183; 186; 188; 191; N9,53743; 53868; 58666; 59565,Expo/Millennium Line,711300,732900,9000,19000,-122.7916412,49.28574753,2023,Elevated,Side,6
VCC-Clark Station,Expo/Millennium Line,VC,Vancouver/UBC,Vancouver,2006,84,59767; 59803,Expo/Millennium Line,815600,731400,7000,14000,-123.0787964,49.26576614,2023,Elevated,Side,6
Commercial-Broadway Station,Expo/Millennium Line,CM,Vancouver/UBC,Vancouver,1985,009; 020; 099; N20; N9,50913; 50963; 52094; 52102; 58327; 58402; 58491; 58620; 58621,Expo/Millennium Line,6225500,6498200,9000,15000,-123.0687943,49.26241684,2023,Elevated & below ground,Centre,22
Joyce-Collingwood Station,Expo/Millennium Line,JY,Vancouver/UBC,Vancouver,1985,026; 027; 028; 041; R4,51671; 51722; 51787; 58249; 59664; 61609,Expo/Millennium Line,5002000,5028600,5000,23000,-123.0318069,49.23840332,2023,Elevated,Centre,14
Stadium-Chinatown Station,Expo/Millennium Line,ST,Vancouver/UBC,Vancouver,1985,005/006; 023; 257; N15; N24,50081; 59558; 59991; 59992; 60302,Expo/Millennium Line,4442900,4617400,75000,31000,-123.109169,49.27929306,2023,Below ground & elevated,Centre,13
Main Street-Science World Station,Expo/Millennium Line,MN,Vancouver/UBC,Vancouver,1983,003; 008; 019; 022; 023; N19; N8,50181; 50233; 59925; 59929,Expo/Millennium Line,3766900,3650100,20000,18000,-123.1003418,49.2731514,2023,Elevated,Centre,17
Waterfront Station,West Coast Express,WWFR,Vancouver/UBC,Vancouver,1995,003; 004; 007; 008; 010; 015/050; 044; N8; R5,50034; 50035; 50040; 50408; 58202,Canada Line; Expo/Millennium Line; SeaBus; West Coast Express,614500,659100,130000,19000,-123.113121,49.28660202,2023,At ground level,Centre,
Moody Centre Station,West Coast Express,WPMO,Northeast Sector,Port Moody,1995,160; 180; 181; 182; 183; 184/185,58945; 61889; 61890; 61891; 61892; 61911; 61912; 61922,Expo/Millennium Line; West Coast Express,152300,164300,4000,9000,-122.8458633,49.2780304,2023,At ground level,Side (single),
Coquitlam Central Station,West Coast Express,WCOQ,Northeast Sector,Coquitlam,1995,150; 151; 152; 153; 159; 160; 169; 171/172; 173/174; 175; 179; 183; 184/185; 186; 187; 188; 189; 191; 701; N9; R3,53021; 53035; 53161; 53170; 53299; 53357; 53495; 53730; 53864; 53866; 53887; 57570; 60390; 61306,Expo/Millennium Line; West Coast Express,133700,128400,7000,5000,-122.800293,49.27441788,2023,At ground level,Side (single),
Port Coquitlam Station,West Coast Express,WPCO,Northeast Sector,Port Coquitlam,1995,159; 160; 170; 173/174; 175; 188,53348; 53440; 53740; 53767; 53777; 53783,West Coast Express,122600,117300,6000,6000,-122.7739792,49.2614975,2023,At ground level,Side (Single),
Pitt Meadows Station,West Coast Express,WPME,Maple Ridge/Pitt Meadows,Pitt Meadows,1995,701; 719/722; 791,57577; 57663; 59796,West Coast Express,47600,46700,2000,7000,-122.6878662,49.22566223,2023,At ground level,Side (Single),
Maple Meadows Station,West Coast Express,WMME,Maple Ridge/Pitt Meadows,Maple Ridge,1995,595; 701; 719/722; 743; 744; 791,57585; 57654; 57670; 57753; 59645; 59646; 60233,West Coast Express,85500,82900,5000,3000,-122.6666946,49.21665955,2023,At ground level,Side (Single),
Port Haney Station,West Coast Express,WHNY,Maple Ridge/Pitt Meadows,Maple Ridge,1995,733; 741; 743; 745/746; 748,57695; 57703; 59709,West Coast Express,68100,58200,2000,4000,-122.6060181,49.21233368,2023,At ground level,Side (Single),
Mission City Station,West Coast Express,WMIS,Outside of Region,Mission,1995,701,60979,West Coast Express,88200,55700,4000,3000,-122.3039703,49.1336937,2023,At ground level,Side (Single),
